Actor,Number of shows
Elma Stefania Agustsdottir,2
Thor Kristjansson,1
Anna Gunndís Guðmundsdóttir,1
Sara Dögg Ásgeirsdóttir,1
Þröstur Leó Gunnarsson,1
Jóhann Sigurðarson,1
Sveinn Geirsson,1
Arnar Páll Harðarson,1
Ayça Erturan,1
Aydan Taş,1
Ayşegül Akdemir,1
Burcu Gönder,3
Bülent Emrah Parlak,2
Büşra Pekin,7
Emre Canpolat,1
Ersin Korkut,5
Eser Yenenler,1
Gizem Tuğral,1
Gülhan Tekin,4
Gülsüm Alkan,1
Hamdi Kahraman,1
İbrahim Büyükak,4
Metin Keçeci,1
Beverly Osu,2
Sharon Ooja,5
Omowunmi Dada,3
Pearl Okorie,2
Wofai Samuel,1
Ikechukwu Onunaku,1
Kemi Lala Akindoju,6
Blossom Chukwujekwu,7
Adebukola Oladipupo,2
Omoni Oboli,12
Segun Arinze,5
Ada Ameh,2
Sambasa Nzeribe,7
Patrick Doyle,3
Gregory Ojefua,3
Charlize Theron,5
Marton Csokas,6
Jonny Lee Miller,3
Sophie Okonedo,2
Frances McDormand,4
Pete Postlethwaite,4
Amelia Warner,1
Caroline Chikezie,2
Nikolai Kinski,3
Paterson Joseph,1
Yangzom Brauen,1
Alican Yücesoy,4
Melisa Sözen,1
Musa Uzunlar,1
Serkan Ercan,2
Özkan Uğur,3
Ülkü Duru,2
Tansu Biçer,1
Nadir Sarıbacak,2
Sermet Yeşil,2
Ayhan Kavas,1
Lexi Giovagnoli,2
Justin Ray,1
Rae Latt,1
Poonam Basu,1
Teresa Biter,1
Kalilah Harris,1
Alexia Dox,1
Adam Powell,1
Sean McBride,1
Billy Crudup,6
Graham Rogers,4
Liana Liberato,4
Stefanie Scott,4
Tim Roth,7
Melanie Lynskey,8
Thomas Cocquerel,4
Peter Coyote,5
Ayo Makun,7
Adesua Etomi,10
Richard Mofe-Damijo,8
Mercy Johnson,2
Falz,7
Tuface Idibia,1
Thenjiwe Moseley,2
Motlatsi Mafatshe,1
Celeste Ntuli,1
Miguel A. Núñez Jr.,5
Franck Dubosc,1
Claude Rich,1
Marie Kremer,1
Mathis Touré,1
Rufus,2
Olivier Claverie,1
Steven Strait,1
Camilla Belle,1
Cliff Curtis,6
Joel Virgel,1
Affif Ben Badra,2
Mo Zinal,1
Nathanael Baring,1
Mona Hammond,1
Omar Sharif,4
Doh Kyung-soo,1
Nam Ji-hyun,1
Cho Seong-ha,4
Cho Han-cheul,3
Kim Seon-ho,3
Han So-hee,2
Zainab Johnson,1
Sammy Obeid,1
Alie Ward,2
Dani Rovira,5
Karra Elejalde,6
Alexandra Jiménez,5
David Verdaguer,2
Clara Segura,2
Alba Ribas,2
Bruno Bergonzini,1
Ricardo Pereira,1
Manuela Couto,1
Marc Balaguer,1
Isabela Moner,4
Jaheem Toombs,1
Owen Joyner,1
Jack De Sena,3
Brady Reiter,1
Lisa Arch,1
Stephanie Escajeda,1
Anisa Rahma,1
Ariyo Wahab,3
Anandito Dwis,1
Fitria Rasyidi,1
Arafah Rianti,1
Kinaryosih,3
Daniel Palmer,1
Melissa Sophia,1
Karen Williams,1
Grace Woodward,1
Usha Naik,2
Sandeep Pathak,2
Shrikant Yadav,3
Ganesh Yadav,5
Pooja Nayak,1
Devendra Gaikwad,1
Sam Upton,1
Jared Abrahamson,3
Mark Boone Junior,4
Laila Ali,1
Kate Vernon,1
Cassi Thomson,2
Colby French,1
Miguel Perez,2
Jay Acovone,1
So-yeon Lee,1
Namkoong Min,1
Tae-im Lee,3
So-hui Yoon,3
Won-keun Lee,1
Hyo-young Ryu,1
PJ McCabe,1
Brianne Moncrief,2
Sarah Baldwin,1
Jim Cummings,8
Heidi Niedermeyer,1
Neville Archambault,2
Dylan Minnette,3
Katherine Langford,3
Derek Luke,3
Alisha Boe,4
Christian Navarro,3
Miles Heizer,2
Ross Butler,2
Devin Druid,2
Michele Selene Ang,1
Steven Silver,1
Amy Hargreaves,3
Justin Prentice,1
Brandon Flynn,1
Brian Yorkey,1
Tom McCarthy,1
Selena Gomez,4
Mandy Teefey,1
Jay Asher,1
Dr. Rona Hu,1
Dr. Helen Hsu,1
Dr. Rebecca Hedrick,1
Alexis Jones,1
Elaine Welteroth,1
Julia Bicknell,1
Dr. Christine Moutier,1
Nic Sheff,1
Carrie Goldberg,1
Joy Gorman,1
Brandon Butler,2
Marissa Jo Cerar,1
Susanne Timms,1
Mark Webber,6
Rutina Wesley,1
Devon Graye,2
Tom Bower,1
Ron Perlman,12
Pruitt Taylor Vince,1
Oprah Winfrey,10
Ava DuVernay,2
Donnie Yen,10
Zhao Wei,2
Wu Chun,1
Law Kar-Ying,2
Kate Tsui,2
Yuwu Qi,1
Wu Ma,1
Chen Kuan Tai,2
Sammo Kam-Bo Hung,5
Chen Zhi Hui,2
Damian Lau,2
Xiang Dong Xu,1
Amber Midthunder,2
Brytnee Ratledge,1
Hank Rogerson,1
Chelsea Edmundson,1
John-Paul Howard,1
Lora Martinez-Cunningham,1
Bruce Willis,12
Mos Def,1
David Morse,2
Jenna Stern,1
Cylk Cozart,1
Casey Sander,1
David Zayas,4
Robert Racki,1
Patrick Garrow,2
Sasha Roiz,1
Zac Efron,7
Leslie Mann,6
Matthew Perry,2
Thomas Lennon,5
Michelle Trachtenberg,3
Melora Hardin,2
Sterling Knight,1
Hunter Parrish,2
Nicole Sullivan,5
Allison Miller,1
Vittoria Puccini,2
Benedetta Porcaroli,2
Edoardo Leo,1
Sara Lazzaro,2
Marco Messeri,1
Betty Pedrazzi,1
Alessandro Giallocosta,1
Filippo Gili,1
Giacomo Rosselli,1
Luis Tosar,9
Javier Gutiérrez,5
Álvaro Cervantes,6
Carlos Hipólito,3
Ricardo Gómez,2
Patrick Criado,3
Eduard Fernández,4
Miguel Herrán,3
Emilio Palacios,3
Nicole Brydon Bloom,1
Giles Matthey,1
Taylor Nichols,2
Alan Blumenfeld,1
Celeste Sully,1
Susan Davis,1
Clayton Hoff,1
Earnestine Phillips,1
Hayley Lovitt,1
Teddy Cole,1
Brook Todd,1
Ace Harney,1
Jason Macdonald,1
Ramzy Bedia,3
Éric Judor,2
Benoît Magimel,5
Kristin Scott Thomas,8
Élodie Bouchez,1
Édouard Baer,1
Fred Testot,2
Omar Sy,6
Alia Bhatt,7
Arjun Kapoor,4
Ronit Roy,6
Amrita Singh,6
Revathy,3
Aru Krishansh Verma,2
Darlene Love,2
Merry Clayton,1
Lisa Fischer,1
Táta Vega,1
Claudia Lennear,1
Judith Hill,1
Bruce Springsteen,2
Mick Jagger,2
Stevie Wonder,1
Sting,1
Bette Midler,4
Cissy Houston,2
Sheryl Crow,1
Tata Vega,1
Tuba Büyüküstün,3
Ilker Aksum,1
Bülent Emin Yarar,1
İpek Bilgin,4
Müjde Uzman,2
Firat Çelik,1
Ayten Uncuoglu,1
Cihat Tamer,1
4Minute,1
B1A4,1
BtoB,1
ELSIE,1
EXID,1
EXO,1
Got7,1
INFINITE,1
KARA,1
Shinee,1
Sistar,1
VIXX,1
Nine Muses,1
BTS,1
Secret,1
Topp Dogg,1
Katee Sackhoff,4
Ray Fearon,1
Julie Cox,1
Steven Cree,2
David Tse,1
Joe David Walters,1
Annette Bening,4
Elle Fanning,7
Greta Gerwig,3
Lucas Jade Zumann,3
Miles Teller,3
Skylar Astin,5
Justin Chon,5
Sarah Wright,1
Jonathan Keltz,2
François Chau,2
Russell Hodgkinson,2
Daniel Booko,3
Russell Mercado,1
Josie Loren,1
Dustin Ybarra,1
Laura Morgan,1
Luke Kenny,4
Mohit Raina,2
Mukul Dev,5
Stephanie Bennett,1
Emmanuel Kabongo,1
RJ Fetherstonhaugh,1
Andres Joseph,1
Kevin Claydon,1
Conrad Pla,1
Clark Backo,3
Ryan Pierce,1
Eileen Li,1
Susan Bain,1
Cristina Rosato,1
Jonathan Kim,1
Colm Feore,7
Paul Sidhu,1
Arielle Holmes,2
Branden Coles,1
Kelcey Watson,1
Anne-Solenne Hatte,3
Brad Potts,1
Timothy Lee DePriest,1
Fernando Argosino,1
Duchess Dukes,1
Harwood Gordon,1
Stormi Henley,1
Ethan Hawke,5
Xu Qing,1
Paul Anderson,4
Rutger Hauer,3
Tyrone Keogh,1
Nathalie Boltt,4
Liam Cunningham,2
Guggu Gill,4
Yograj Singh,6
Sonia Mann,3
Jimmy Sharma,1
Sapna Bassi,1
Lakha Lakhwinder Singh,1
Sandeep Kaur Sandy,1
Sardar Sohi,10
Goo Jin,3
Hye-jin Han,1
Soo-bin Bae,1
Seul-ong Im,1
Kyeong-yeong Lee,5
Gwang Jang,1
Deok-jae Jo,1
Eui-sung Kim,3
Seok-Hwan An,2
Bok-gi Min,1
Diego Capusotto,2
Sofía Gala,3
Daniel Aráoz,4
Willy Toledo,1
El Polaco,1
Paula Manzone,1
Yayo Guridi,2
Guillermo Toledo,3
Janis Joplin,1
Jimi Hendrix,2
Amy Winehouse,2
Jim Morrison,1
Kurt Cobain,2
Sandra Bullock,4
Viggo Mortensen,3
Dominic West,6
Diane Ladd,2
Elizabeth Perkins,4
Steve Buscemi,11
Alan Tudyk,4
Mike O'Malley,2
Azura Skye,1
Reni Santoni,1
Marianne Jean-Baptiste,5
Jin-sung Yang,1
